Концептуальное положение;"
<br>Задача
<br>Цель
<br>Ресурс
<br>Принцип
<br>Основа
<br>Направление
"
Задача;"
<br>Действия для обеспечения достижения поставленных целей
"
Цель;"
<br>Ожидаемый результат
"
Ресурс;"
<br>Источник покрытия нужд, потребностей
"
Принцип;"
<br>Утверждение, на основе которого создают научные теории и законы
"
Цели инженерно-технической защиты информации;"
<br>Предотвращение утечки, хищения, искажения и подделки информации
<br>Предотвращение угроз безопасности личности, общества, государства
"
Задачи инженерно-технической защиты информации;"
<br>Защита прав граждан
<br>Сохранение государственной и коммерческой тайны
<br>Обеспечение прав при использовании средств съема информации
"
Ресурсы инженерно-технической защиты информации;"
<br>Люди, решающие задачи защиты информации, финансовые, технические и другие средства, расходуемые на защиту информации.
"
Принципы инженерно-технической защиты информации;"
<br>Надежность
<br>Непрерывность
<br>Скрытость
<br>Целеустремленность
<br>Рациональность
<br>Активность
<br>Гибкость
<br>Многообразие
<br>Комплексность
<br>Экономичность
"
Надежность инженерно-технической защиты информации;"
<br>Обеспечение требуемого уровня ее безопасности независимо от внешних и внутренних факторов, влияющих на безопасность информации.
"
Непрерывность инженерно-технической защиты информации;"
<br>Постоянная готовность системы защиты к отражению угроз информации
"
Скрытость инженерно-технической защиты информации;"
<br>Действия по увеличению неопределенности исходных данных с целью уменьшения возможностей добывания информации
"
Целеустремленность инженерно-технической защиты информации;"
<br>Сосредоточение усилий по предотвращению угроз наиболее ценной информации.
"
Рациональность инженерно-технической защиты информации;"
<br>Минимизация ресурса, расходуемого на обеспечение необходимого уровня безопасности информации
"
Активность инженерно-технической защиты информации;"
<br>Прогнозирование угроз и создание превентивных мер по их нейтрализации
"
Гибкость инженерно-технической защиты информации;"
<br>Оперативное изменение мер защиты
"
Многообразие инженерно-технической защиты информации;"
<br>Наличие разных мер защиты из которых можно оперативно выбрать эффективные для определённых угроз и условий
"
Комплексность инженерно-технической защиты информации;"
<br>Возможность применения, при котором недостатки одних компенсируются достоинствами других
"
Экономичность инженерно-технической защиты информации;"
<br>Затраты на защиту информации не должны превышать возможный ущерб от реализации угроз
"
Защита речевой информации;"
<br>Деятельность, направленная на предотвращение утечки информации, которая циркулирует в виде акустических волн (голоса человека). 
"
Защита речевой информации ;"
<br>Деятельность, направленная на предотвращение утечки информации, которая циркулирует в виде акустических волн
"
Речевой сигнал;"
<br>Сложный физический процесс, связанный с изменением акустических параметров, которые содержат информацию о содержании сообщения.
"
Активные средства защиты речевой информации;"
<br>Генераторы шума
"
Генератор шума;"
<br>Техническое устройство, вырабатывающее шумоподобные сигналы
"
Акустический датчик;"
<br>Генератор шума, предназначенный для создания акустического шума в помещениях или вне их
"
Вибрационный датчик;"
<br>Генератор шума, предназначенный для создания маскирующего шума в ограждающих конструкциях
"
Виды инженерно-технической защиты информации как области информационной безопасности;"
<br>Физические
<br>Аппаратные
<br>Программные
<br>Криптографические
"
Классификация инженерно-технической защиты информации;"
<br>по способу реализации
<br>по классам средств злоумышленника
<br>по масштабу охвата
<br>по конкретным объектам, на которые направлено воздействие
<br>по характеру мероприятий
<br>по классу систем для инженерной защиты
"
Виды экранирования, применяющиеся для снижения величины магнитных полей;"
<br>Экранирование электрического поля
<br>Экранирование магнитного поля
<br>Экранирование электромагнитного поля
"
Инженерно-техническая защита;"
<br>Совокупность технических средств и мероприятий, нацеленных на предотвращение утечек, разглашения информации, и несанкционированного доступа в сетевые ресурсы организации
"
Проблемы инженерно-технической защиты информации. ;"
<br>Проблемы инженерно-технической защиты информации = тому, каким образом злоумышленники могут заполучить данные - Изоляция неэкраниованных проводов, трансформаторов, громкоговорителей, разъемов или разомкнутых контуров.
"
Технические средства приёма, обработки и хранения информации (ТСПИ);"
<br>Технические средства, непосредственно обрабатывающие конфиденциальную информацию.
"
